HPPHPG,APPAPG,HPPG,APPG,HGPHPG,AGPAPG,HGTPG,AGTPG,HSPHPG,ASPAPG,HSPG,ASPG,HSTPG,ASTPG,HSTPHPG,HSTPAPG,FTR
1.71,0.64,1.39,0.79,1.50,0.93,1.36,0.86,14.29,9.21,12.82,12.82,4.25,2.93,4.50,3.29,0.00
1.79,1.07,1.50,1.11,1.50,1.33,1.29,1.29,14.86,11.20,12.36,12.36,3.93,3.79,4.79,3.27,0.00
1.93,0.93,1.57,1.14,2.00,1.21,1.54,1.25,13.86,7.57,11.96,11.96,4.39,3.18,5.14,2.64,0.00
1.86,1.38,1.50,1.79,1.57,1.69,1.36,1.82,13.64,12.08,11.75,11.75,3.75,5.00,4.64,4.38,2.00
2.21,1.64,1.71,1.46,1.93,1.93,1.39,1.57,16.29,11.00,14.96,14.96,4.89,3.86,6.00,3.64,0.00
2.79,0.86,2.57,1.14,2.79,1.07,2.43,1.39,17.86,11.14,16.86,16.86,6.39,4.21,7.07,3.71,0.00
0.57,0.29,0.46,0.75,0.71,0.50,0.64,0.82,11.07,9.64,10.61,10.61,3.21,3.86,3.36,3.43,0.00
1.23,0.69,1.07,0.81,1.08,0.92,0.93,0.85,11.54,9.54,11.00,11.00,3.48,2.93,3.85,3.31,0.00
1.29,1.25,1.52,1.74,1.21,1.58,1.59,1.78,15.93,12.25,13.70,13.70,3.93,4.89,4.07,4.08,2.00
0.38,1.21,0.37,1.52,0.69,1.07,0.63,1.44,11.15,10.07,10.63,10.63,3.26,4.19,3.46,3.64,1.00
1.43,1.00,1.33,1.19,1.14,1.15,1.26,1.22,16.64,7.69,14.15,14.15,4.85,3.19,5.36,2.62,1.00
1.69,0.50,1.44,0.93,1.54,1.21,1.30,1.33,15.23,11.21,12.44,12.44,4.00,4.15,5.00,4.14,0.00
1.43,1.14,1.19,1.15,1.71,1.43,1.41,1.33,12.71,10.86,11.93,11.93,4.15,3.89,4.71,3.43,1.00
2.46,1.14,1.74,1.56,2.38,1.14,1.78,1.33,13.92,9.86,12.26,12.26,4.15,3.63,5.08,2.86,1.00
2.15,1.07,1.67,1.33,1.85,1.21,1.33,1.30,16.38,11.36,14.96,14.96,4.85,4.30,6.00,4.00,1.00
2.86,0.31,2.59,0.78,3.07,0.54,2.52,0.85,18.36,9.85,15.41,15.41,6.11,3.96,6.93,3.62,0.00
2.77,1.54,2.56,1.70,2.54,1.62,2.30,1.70,17.85,13.00,16.81,16.81,6.33,5.70,7.00,5.00,0.00
0.93,1.23,0.85,1.35,0.79,1.38,0.85,1.31,11.43,11.46,10.65,10.65,2.92,4.85,2.57,4.31,1.00
1.62,0.93,1.35,1.00,1.38,0.79,1.35,0.88,14.31,10.50,13.04,13.04,4.42,3.38,4.62,3.14,0.00
1.21,0.92,0.81,1.19,1.14,1.08,0.88,1.42,13.36,11.08,11.81,11.81,4.00,4.15,4.29,3.54,0.00
1.86,1.77,1.77,1.58,1.79,2.00,1.73,1.65,14.71,11.31,14.19,14.19,5.88,3.92,6.36,3.77,1.00
2.13,1.21,1.69,1.69,1.93,0.86,1.81,1.38,16.60,13.64,14.81,14.81,5.00,4.88,5.53,3.79,0.00
1.15,2.31,1.15,2.58,1.23,1.92,1.35,2.54,11.15,12.23,10.96,10.96,3.81,6.08,4.38,5.23,2.00
1.85,2.36,1.54,2.54,1.85,2.07,1.46,2.27,13.23,15.86,11.58,11.58,4.15,6.38,4.77,5.71,2.00
1.38,1.07,0.96,1.77,1.46,1.21,1.35,1.81,11.62,10.71,11.31,11.31,4.15,4.19,4.15,3.29,2.00
2.00,0.36,1.58,0.35,1.54,0.57,1.35,0.62,13.46,10.14,11.58,11.58,3.58,3.12,4.46,3.07,2.00
1.36,1.21,1.19,1.38,1.29,1.07,1.27,1.27,12.00,9.86,10.08,10.08,3.27,3.92,3.71,3.07,2.00
1.08,1.15,1.04,1.64,1.00,1.15,0.92,1.40,10.83,9.69,10.80,10.80,3.48,3.60,3.67,2.69,0.00
1.38,1.00,1.60,1.24,1.31,1.25,1.72,1.28,16.31,7.83,13.84,13.84,4.00,3.24,4.08,2.75,0.00
0.33,0.75,0.24,0.84,0.67,0.92,0.56,0.84,10.83,9.75,10.32,10.32,3.00,2.92,3.17,3.33,2.00
1.46,1.15,1.36,1.20,1.23,1.46,1.32,1.40,16.23,10.77,14.08,14.08,4.92,3.92,5.38,3.23,0.00
2.75,0.54,2.52,1.00,2.50,1.23,2.20,1.36,17.92,11.00,17.12,17.12,6.40,4.12,7.17,4.15,0.00
1.58,1.23,1.32,1.60,1.50,1.08,1.24,1.52,15.00,9.92,12.04,12.04,3.96,4.28,4.92,3.54,2.00
1.46,1.67,1.24,1.80,1.77,1.67,1.40,1.80,12.62,13.58,11.56,11.56,4.00,5.92,4.77,5.33,1.00
2.58,1.09,1.72,1.64,2.50,1.64,1.80,1.76,14.25,12.36,12.04,12.04,4.20,4.84,5.25,4.27,0.00
2.25,0.33,1.76,0.72,2.00,0.58,1.40,0.80,16.50,10.00,15.04,15.04,5.00,3.96,6.17,3.67,0.00
2.85,1.08,2.56,1.28,3.15,1.31,2.52,1.36,18.23,11.77,15.44,15.44,6.04,4.28,6.92,4.23,0.00
1.50,0.15,1.04,0.25,1.50,0.46,1.38,0.54,11.67,9.85,11.63,11.63,4.25,3.04,4.08,2.85,0.00
0.92,1.83,0.75,1.54,0.77,2.17,0.79,1.71,11.23,11.17,10.38,10.38,2.79,3.79,2.54,3.92,0.00
1.25,2.31,1.25,2.50,1.33,1.92,1.46,2.17,11.67,16.38,11.33,11.33,4.08,6.42,4.67,5.69,2.00
2.00,1.00,1.54,0.96,2.00,0.85,1.46,0.88,13.58,10.77,11.88,11.88,4.29,3.50,5.08,3.31,0.00
1.46,2.25,1.29,2.54,1.31,1.83,1.33,2.58,11.85,12.42,10.17,10.17,3.38,6.17,3.69,5.08,2.00
1.50,1.08,1.33,1.38,1.42,1.00,1.42,1.29,14.17,9.31,13.08,13.08,4.33,3.96,4.33,3.08,1.00
1.08,1.25,0.75,1.29,1.00,1.42,0.83,1.29,13.62,11.75,12.00,12.00,3.96,5.00,4.23,4.42,1.00
1.92,0.92,1.83,1.67,1.92,1.15,1.79,1.71,14.92,10.00,14.42,14.42,5.96,4.08,6.46,3.23,1.00
2.07,1.00,1.71,1.25,1.86,1.00,1.75,1.38,16.50,10.42,14.83,14.83,4.79,3.92,5.29,3.17,0.00
2.17,1.31,1.71,1.71,1.67,0.85,1.42,1.38,13.58,13.69,11.42,11.42,3.58,4.83,4.58,3.92,0.00
2.55,0.17,1.70,0.26,2.36,0.42,1.70,0.52,13.55,8.75,11.74,11.74,4.09,2.91,5.09,2.58,0.00
1.36,2.18,0.96,2.52,1.45,1.73,1.35,2.57,12.18,11.91,11.87,11.87,4.35,5.91,4.27,4.45,2.00
1.58,0.55,1.35,0.65,1.33,0.82,1.35,0.70,12.00,9.36,10.17,10.17,3.26,2.78,3.50,3.09,0.00
0.91,1.09,1.00,1.30,0.91,1.00,0.87,1.39,10.27,9.73,10.61,10.61,3.43,3.87,3.73,3.00,0.00
2.18,2.25,1.78,2.48,2.00,1.92,1.39,2.17,16.55,16.50,14.91,14.91,4.91,6.39,5.91,5.58,0.00
1.33,1.20,1.30,1.65,1.17,1.60,1.30,1.70,17.00,12.50,14.43,14.43,5.00,4.65,5.58,4.10,2.00
2.00,0.36,1.87,0.74,1.92,0.64,1.78,0.83,15.33,10.09,14.61,14.61,5.91,3.83,6.42,3.64,0.00
1.91,2.00,1.48,1.61,1.91,2.27,1.39,1.74,13.27,10.55,11.65,11.65,4.00,3.74,4.55,3.82,0.00
1.73,1.25,1.39,1.65,1.64,1.17,1.30,1.39,14.91,9.25,12.04,12.04,3.91,3.65,5.00,2.58,2.00
1.55,1.25,1.35,1.30,1.45,1.58,1.43,1.48,13.73,11.00,12.83,12.83,4.39,3.96,4.45,3.50,1.00
1.25,1.27,1.68,1.36,1.25,1.45,1.73,1.36,15.25,11.64,13.23,13.23,3.73,5.09,3.67,4.36,0.00
1.08,1.08,0.77,1.41,1.00,0.92,0.82,1.32,12.67,10.17,11.50,11.50,3.82,3.91,4.00,3.50,2.00
0.36,1.08,0.27,1.45,0.64,1.00,0.55,1.32,11.18,9.42,10.09,10.09,3.05,3.91,3.27,2.92,2.00
2.73,1.17,2.59,1.36,2.45,1.42,2.27,1.41,18.09,12.00,17.41,17.41,6.50,4.36,7.27,4.33,0.00
2.00,1.09,1.59,1.27,1.77,1.36,1.68,1.36,16.77,8.18,15.27,15.27,4.77,3.23,5.08,3.00,0.00
1.36,1.08,1.32,0.91,1.36,0.83,1.45,0.86,11.73,10.92,11.18,11.18,4.00,3.41,4.45,3.17,0.00
2.09,0.58,1.59,1.00,1.64,1.25,1.36,1.41,14.27,11.58,11.59,11.59,3.55,4.45,4.82,4.42,0.00
0.75,1.42,0.68,1.73,0.58,0.83,0.73,1.36,11.42,13.42,10.27,10.27,2.86,4.91,2.50,4.00,2.00
2.83,1.73,2.50,1.82,3.33,1.64,2.50,1.68,18.42,13.82,15.55,15.55,6.00,5.68,7.25,5.36,0.00
1.50,0.92,1.36,1.64,1.75,1.08,1.45,1.73,12.33,10.08,11.05,11.05,4.00,4.18,4.67,3.17,0.00
2.00,2.10,1.52,2.48,1.60,1.50,1.33,2.48,14.80,12.10,11.71,11.71,3.57,5.76,5.00,4.50,2.00
2.50,1.20,1.71,1.33,2.50,1.50,1.71,1.43,13.50,8.60,11.57,11.57,4.19,3.38,5.40,3.30,0.00
1.50,0.60,1.05,0.71,1.60,0.90,1.48,0.71,12.60,8.90,12.00,12.00,4.52,2.90,4.50,3.30,0.00
0.70,1.90,0.95,1.90,0.90,1.70,0.81,1.71,10.00,14.60,10.52,10.52,3.43,5.86,3.70,5.70,2.00
2.10,1.40,1.67,1.43,2.00,1.60,1.33,1.43,17.40,11.60,15.48,15.48,5.00,5.24,6.00,4.60,2.00
0.40,1.20,0.29,1.29,0.70,1.10,0.57,1.38,10.80,9.50,9.86,9.86,2.95,3.86,3.10,3.20,2.00
2.70,2.20,2.57,1.62,2.40,2.30,2.24,1.76,18.60,10.80,17.62,17.62,6.57,3.86,7.50,3.80,2.00
1.90,0.40,1.38,0.81,1.70,0.60,1.33,0.86,15.20,10.10,12.24,12.24,3.86,3.81,5.10,3.60,1.00
1.80,1.27,1.33,1.24,1.80,1.55,1.29,1.38,13.30,10.64,11.86,11.86,3.95,3.81,4.40,3.55,2.00
1.60,1.00,1.43,1.52,1.40,1.56,1.43,1.71,13.90,13.11,13.05,13.05,4.48,4.86,4.40,4.33,2.00
0.82,1.00,0.75,1.65,0.55,1.00,0.75,1.65,11.91,9.82,10.50,10.50,2.80,4.10,2.55,3.09,1.00
1.45,1.27,1.40,1.50,1.36,1.45,1.45,1.40,11.82,12.27,10.45,10.45,3.45,4.55,3.45,4.55,2.00
1.09,1.18,1.55,1.00,1.27,0.73,1.70,0.80,15.91,11.00,13.90,13.90,3.90,3.45,3.91,3.18,1.00
1.18,1.09,0.80,1.60,1.09,1.09,0.90,1.40,12.36,8.91,11.65,11.65,3.90,3.50,4.00,2.27,1.00
1.45,2.45,1.35,2.70,1.27,2.09,1.45,2.25,17.55,16.73,15.05,15.05,5.35,6.65,5.82,5.73,0.00
2.82,0.91,2.45,1.40,3.36,1.00,2.50,1.40,16.82,9.55,14.55,14.55,5.75,4.05,6.91,2.73,0.00
1.91,0.18,1.85,0.30,1.73,0.45,1.55,0.55,14.91,9.00,14.65,14.65,5.70,2.85,6.00,2.82,0.00
1.92,0.64,1.45,0.95,1.83,1.36,1.50,1.45,16.92,11.45,15.20,15.20,4.70,4.60,5.25,4.55,0.00
1.20,1.27,1.15,1.75,1.20,0.73,1.35,1.40,11.20,13.73,10.90,10.90,3.75,5.00,4.10,4.09,2.00
1.36,0.91,1.20,1.40,1.64,0.82,1.30,1.35,12.36,10.55,10.90,10.90,3.75,3.80,4.45,3.55,2.00
0.80,1.10,0.74,1.42,0.50,1.10,0.74,1.21,11.90,12.20,10.42,10.42,2.79,4.47,2.50,4.40,0.00
